Date,HomeTeam,AwayTeam,AvgBH,AvgBD,AvgBA,FTRn,FTR
8,Man United,Leeds,1.54,4.449999999999999,5.835000000000001,4,H
8,Burnley,Brighton,3.1799999999999997,3.0783333333333336,2.451666666666666,-1,A
8,Chelsea,Crystal Palace,1.2566666666666666,5.831666666666667,12.540000000000001,3,H
8,Everton,Southampton,1.9516666666666664,3.4683333333333333,4.008333333333334,2,H
8,Leicester,Wolves,1.6933333333333331,3.7566666666666664,5.286666666666666,1,H
8,Watford,Aston Villa,3.1466666666666665,3.235,2.3833333333333333,1,H
8,Norwich,Liverpool,8.766666666666667,5.6433333333333335,1.3216666666666668,-3,A
8,Newcastle,West Ham,3.2016666666666667,3.4566666666666666,2.245,-2,A
8,Tottenham,Man City,5.426666666666667,4.1066666666666665,1.6199999999999999,1,H
8,Liverpool,Burnley,1.2016666666666667,6.913333333333334,14.196666666666667,2,H
8,Aston Villa,Newcastle,1.8100000000000003,3.823333333333333,4.296666666666666,2,H
8,Leeds,Everton,2.3516666666666666,3.4433333333333334,3.0233333333333334,0,D
8,Man City,Norwich,1.0983333333333334,10.296666666666667,24.866666666666664,5,H
8,Brighton,Watford,1.7249999999999999,3.475,5.591666666666666,2,H
8,Southampton,Man United,5.386666666666667,4.206666666666667,1.6000000000000003,0,D
8,Wolves,Tottenham,3.205,3.141666666666667,2.4033333333333338,-1,A
8,Arsenal,Chelsea,4.825,3.7133333333333334,1.748333333333333,-2,A
8,West Ham,Leicester,2.5683333333333334,3.4516666666666667,2.72,3,H
8,Man City,Arsenal,1.2533333333333334,6.055,12.015,5,H
8,Brighton,Everton,2.3366666666666664,3.206666666666667,3.253333333333334,-2,A
8,Newcastle,Southampton,2.5,3.445,2.8083333333333336,0,D
8,Norwich,Leicester,4.328333333333333,3.5483333333333333,1.876666666666667,-1,A
8,West Ham,Crystal Palace,1.5683333333333334,3.953333333333333,6.398333333333333,0,D
8,Liverpool,Chelsea,2.4783333333333335,3.31,2.9266666666666663,0,D
8,Burnley,Leeds,3.0666666666666664,3.455,2.308333333333333,0,D
8,Tottenham,Watford,1.4266666666666665,4.483333333333333,8.215,1,H
8,Wolves,Man United,4.89,3.4933333333333336,1.7933333333333332,-1,A
9,Crystal Palace,Tottenham,4.258333333333334,3.3866666666666667,1.9233333333333331,3,H
9,Arsenal,Norwich,1.5016666666666667,4.433333333333334,6.291666666666667,1,H
9,Leicester,Man City,5.695,4.151666666666666,1.5783333333333334,-1,A
9,Man United,Newcastle,1.19,7.093333333333334,14.736666666666666,3,H
9,Southampton,West Ham,2.8766666666666665,3.4466666666666668,2.431666666666667,0,D
9,Watford,Wolves,3.3366666666666664,3.17,2.293333333333333,-2,A
9,Chelsea,Aston Villa,1.3,5.335,10.861666666666666,3,H
9,Leeds,Liverpool,4.345,3.9916666666666667,1.7550000000000001,-3,A
9,Everton,Burnley,1.7249999999999999,3.6633333333333336,5.0,2,H
9,Newcastle,Leeds,2.9916666666666667,3.606666666666666,2.3016666666666663,0,D
9,Burnley,Arsenal,3.828333333333333,3.4616666666666664,2.0016666666666665,-1,A
9,Liverpool,Crystal Palace,1.21,6.6450000000000005,13.683333333333332,3,H
9,Man City,Southampton,1.1416666666666666,8.246666666666668,18.37,0,D
9,Norwich,Watford,2.16,3.338333333333333,3.4633333333333334,-2,A
9,Aston Villa,Everton,2.3699999999999997,3.315,3.0333333333333337,3,H
9,Brighton,Leicester,2.7249999999999996,3.1833333333333336,2.6999999999999997,1,H
9,West Ham,Man United,4.453333333333333,3.8833333333333333,1.76,-1,A
9,Tottenham,Chelsea,4.913333333333334,3.7616666666666667,1.718333333333333,-3,A
9,Chelsea,Man City,2.671666666666667,3.2416666666666667,2.7550000000000003,-1,A
9,Man United,Aston Villa,1.385,5.0616666666666665,7.896666666666667,-1,A
9,Everton,Norwich,1.615,3.8266666666666667,5.890000000000001,2,H
9,Leeds,West Ham,3.0366666666666666,3.6050000000000004,2.263333333333333,-1,A
9,Leicester,Burnley,1.5766666666666669,3.9983333333333326,6.0200000000000005,0,D
9,Watford,Newcastle,2.235,3.328333333333333,3.311666666666666,0,D
9,Southampton,Wolves,2.64,3.1999999999999997,2.7900000000000005,-1,A
9,Arsenal,Tottenham,2.2399999999999998,3.266666666666667,3.356666666666667,2,H
9,Crystal Palace,Brighton,3.0316666666666667,3.126666666666667,2.5016666666666665,0,D
10,Man United,Everton,1.4799999999999998,4.341666666666667,7.140000000000001,0,D
10,Burnley,Norwich,1.8600000000000003,3.565,4.308333333333334,0,D
10,Chelsea,Southampton,1.3650000000000002,4.81,8.953333333333333,2,H
10,Leeds,Watford,1.7433333333333334,3.8350000000000004,4.6499999999999995,1,H
10,Wolves,Newcastle,1.6666666666666667,3.9933333333333327,5.035,1,H
10,Brighton,Arsenal,3.018333333333333,3.1833333333333336,2.4616666666666664,0,D
10,Crystal Palace,Leicester,3.0866666666666673,3.348333333333333,2.3349999999999995,0,D
10,Tottenham,Aston Villa,2.1216666666666666,3.4683333333333333,3.465,1,H
10,Liverpool,Man City,2.8516666666666666,3.4916666666666667,2.4116666666666666,0,D
10,Watford,Liverpool,8.446666666666667,5.248333333333334,1.3483333333333336,-5,A
10,Aston Villa,Wolves,2.22,3.235,3.42,-1,A
10,Leicester,Man United,3.526666666666666,3.5549999999999997,2.063333333333334,2,H
10,Man City,Burnley,1.115,9.073333333333332,21.941666666666666,2,H
